Position Eligibility,Player,Team,Position,Points,Games,Avg
TE/FLEX,Logan Thomas,WAS,TE,21.7,3,7.2
TE/FLEX,Will Dissly,SEA,TE,21.6,8,2.7
TE/FLEX,Blake Jarwin,DAL,TE,21,7,3
TE/FLEX,Eric Ebron,PIT,TE,20.5,8,2.6
TE/FLEX,Hayden Hurst,ATL,TE,19.8,8,2.5
TE/FLEX,O.J. Howard,TB,TE,19.5,9,2.2
TE/FLEX,Tyler Kroft,NYJ,TE,16.4,6,2.7
TE/FLEX,Harrison Bryant,CLE,TE,16.1,10,1.6
TE/FLEX,Josiah Deguara,GB,TE,15,8,1.9
TE/FLEX,Jordan Akins,HOU,TE,14.7,9,1.6
TE/FLEX,Ian Thomas,CAR,TE,14.6,9,1.6
TE/FLEX,Stephen Anderson,LAC,TE,14.2,8,1.8
TE/FLEX,Anthony Firkser,TEN,TE,13.8,9,1.5
TE/FLEX,Pharaoh Brown,HOU,TE,12.4,8,1.6
TE/FLEX,Jesse James,CHI,TE,11.8,3,3.9
TE/FLEX,Marcedes Lewis,GB,TE,11.7,8,1.5
TE/FLEX,Brevin Jordan,HOU,TE,11.7,3,3.9
TE/FLEX,Lee Smith,ATL,TE,11.3,6,1.9
TE/FLEX,Ross Dwelley,SF,TE,11.1,4,2.8
TE/FLEX,Adam Shaheen,MIA,TE,11,9,1.2
TE/FLEX,Chris Manhertz,JAC,TE,10.9,7,1.6
TE/FLEX,Tommy Sweeney,BUF,TE,10.4,6,1.7
TE/FLEX,Antony Auclair,HOU,TE,9.4,2,4.7
TE/FLEX,Chris Herndon IV,MIN,TE,8.3,5,1.7
TE/FLEX,Jacob Hollister,JAC,TE,8.1,4,2
TE/FLEX,Noah Gray,KC,TE,7.8,5,1.6
TE/FLEX,Kylen Granson,IND,TE,7.2,7,1
TE/FLEX,James O'Shaughnessy,JAC,TE,7.2,2,3.6
TE/FLEX,Jimmy Graham,CHI,TE,6.4,4,1.6
TE/FLEX,Jesper Horsted,CHI,TE,6.2,3,2.1
TE/FLEX,Zach Gentry,PIT,TE,6,4,1.5
TE/FLEX,John Bates,WAS,TE,5.9,6,1
TE/FLEX,Josh Oliver,BAL,TE,5.9,8,0.7
TE/FLEX,Luke Farrell,JAC,TE,4.9,7,0.7
TE/FLEX,Drew Sample,CIN,TE,4.8,5,1
TE/FLEX,Blake Bell,KC,TE,4.6,8,0.6
TE/FLEX,Eric Saubert,DEN,TE,4.6,8,0.6
TE/FLEX,Darren Fells,Multi,TE,4.3,3,1.4
TE/FLEX,Charlie Woerner,SF,TE,4.1,3,1.4
TE/FLEX,Kaden Smith,NYG,TE,3.3,4,0.8
TE/FLEX,Tommy Hudson,TEN,TE,3.1,4,0.8
TE/FLEX,Garrett Griffin,NO,TE,3,4,0.8
TE/FLEX,Nick Vannett,NO,TE,2,1,2
TE/FLEX,Sean McKeon,DAL,TE,1.7,3,0.6
TE/FLEX,Cethan Carter,MIA,TE,1.6,7,0.2
TE/FLEX,Trevon Wesco,NYJ,TE,1.6,5,0.3
TE/FLEX,Jack Stoll,PHI,TE,1.5,4,0.4
TE/FLEX,Brock Wright,DET,TE,1.4,3,0.5
TE/FLEX,Derek Carrier,LV,TE,1.3,1,1.3
TE/FLEX,Luke Stocker,MIN,TE,1.2,3,0.4
TE/FLEX,Johnny Mundt,LAR,TE,0.9,3,0.3
TE/FLEX,Dominique Dafney,GB,TE,0.8,3,0.3
TE/FLEX,Colby Parkinson,SEA,TE,0.7,2,0.4
TE/FLEX,Tre' McKitty,LAC,TE,0.7,1,0.7
TE/FLEX,Eric Tomlinson,BAL,TE,0.7,3,0.2
TE/FLEX,Parker Hesse,ATL,TE,0.5,2,0.3
TE/FLEX,Tyler Davis,GB,TE,0.4,4,0.1
TE/FLEX,Kendall Blanton,LAR,TE,0.2,1,0.2
TE/FLEX,Kevin Rader,PIT,TE,0.1,1,0.1
TE/FLEX,Kenny Yeboah,NYJ,TE,0,1,0
TE/FLEX,Clark Harris,CIN,TE,0,1,0
TE/FLEX,Nick Boyle,BAL,TE,0,1,0
TE/FLEX,Daniel Helm,LV,TE,0,1,0
TE/FLEX,Darrell Daniels,ARI,TE,0,8,0
TE/FLEX,Briley Moore-McKinney,TEN,TE,0,1,0
TE/FLEX,Tyree Jackson,PHI,TE,0,1,0
TE/FLEX,J.P. Holtz,CHI,TE,0,2,0
TE/FLEX,Jeremy Sprinkle,DAL,TE,0,3,0
TE/FLEX,Codey McElroy,TB,TE,0,2,0
TE/FLEX,Colin Thompson,CAR,TE,0,3,0
TE/FLEX,Giovanni Ricci,CAR,TE,0,4,0
TE/FLEX,Ben Ellefson,MIN,TE,0,2,0
TE/FLEX,Daniel Brown,NYJ,TE,0,1,0
TE/FLEX,Demetrius Harris,ARI,TE,0,7,0
TE/FLEX,Deon Yelder,TB,TE,0,2,0
TE/FLEX,Jacob Harris,LAR,TE,0,1,0
TE/FLEX,Hunter Long,MIA,TE,0,1,0
TE/FLEX,Chris Myarick,NYG,TE,0,2,0
TE/FLEX,Jared Pinkney,LAR,TE,0,1,0
WR/FLEX,Cooper Kupp,LAR,WR,173.6,10,17.4
WR/FLEX,Deebo Samuel,SF,WR,157.1,10,15.7
WR/FLEX,Tyreek Hill,KC,WR,148.6,11,13.5
WR/FLEX,Ja'Marr Chase,CIN,WR,134.2,10,13.4
WR/FLEX,Justin Jefferson,MIN,WR,129.8,10,13
WR/FLEX,Mike Evans,TB,WR,128.9,10,12.9
WR/FLEX,Davante Adams,GB,WR,127.9,10,12.8
WR/FLEX,Mike Williams,LAC,WR,114.5,10,11.5
WR/FLEX,Stefon Diggs,BUF,WR,113.3,10,11.3
WR/FLEX,Chris Godwin,TB,WR,113.1,10,11.3
WR/FLEX,CeeDee Lamb,DAL,WR,113,10,11.3
WR/FLEX,DK Metcalf,SEA,WR,111.7,10,11.2
WR/FLEX,Adam Thielen,MIN,WR,110.6,10,11.1
WR/FLEX,Marquise Brown,BAL,WR,108.4,9,12
WR/FLEX,Michael Pittman Jr.,IND,WR,106,11,9.6
WR/FLEX,Terry McLaurin,WAS,WR,104.7,10,10.5
WR/FLEX,DJ Moore,CAR,WR,100.6,11,9.2
WR/FLEX,Diontae Johnson,PIT,WR,97,9,10.8
WR/FLEX,Keenan Allen,LAC,WR,93,10,9.3
WR/FLEX,Robert Woods,LAR,WR,92.2,9,10.2
WR/FLEX,DeAndre Hopkins,ARI,WR,90.6,8,11.3
WR/FLEX,DeVonta Smith,PHI,WR,90.4,11,8.2
WR/FLEX,Tyler Lockett,SEA,WR,89.7,10,9
WR/FLEX,Christian Kirk,ARI,WR,89.2,11,8.1
WR/FLEX,Amari Cooper,DAL,WR,88.3,9,9.8
WR/FLEX,Kendrick Bourne,NE,WR,85,11,7.7
WR/FLEX,Jaylen Waddle,MIA,WR,84.5,11,7.7
WR/FLEX,Darnell Mooney,CHI,WR,83.6,10,8.4
WR/FLEX,AJ Brown,TEN,WR,80.5,10,8.1
WR/FLEX,Emmanuel Sanders,BUF,WR,80.2,10,8
WR/FLEX,Brandin Cooks,HOU,WR,78.4,10,7.8
WR/FLEX,Hunter Renfrow,LV,WR,76.9,10,7.7
WR/FLEX,Tim Patrick,DEN,WR,76.3,10,7.6
WR/FLEX,Courtland Sutton,DEN,WR,75.7,10,7.6
WR/FLEX,Elijah Moore,NYJ,WR,75.3,9,8.4
WR/FLEX,Marquez Callaway,NO,WR,73.2,10,7.3
WR/FLEX,AJ Green,ARI,WR,71.8,10,7.2
WR/FLEX,Corey Davis,NYJ,WR,69.7,8,8.7
WR/FLEX,Van Jefferson,LAR,WR,66.7,10,6.7
WR/FLEX,Marvin Jones Jr.,JAC,WR,66.6,10,6.7
WR/FLEX,Antonio Brown,TB,WR,66.4,5,13.3
WR/FLEX,Jakobi Meyers,NE,WR,64,11,5.8
WR/FLEX,Chase Claypool,PIT,WR,63.8,8,8
WR/FLEX,Tyler Boyd,CIN,WR,61,10,6.1
WR/FLEX,Henry Ruggs III,LV,WR,60.5,7,8.6
WR/FLEX,Nelson Agholor,NE,WR,58.1,11,5.3
WR/FLEX,Tee Higgins,CIN,WR,56.6,8,7.1
WR/FLEX,Bryan Edwards,LV,WR,55.4,10,5.5
WR/FLEX,Deonte Harris,NO,WR,54.7,9,6.1
WR/FLEX,Cole Beasley,BUF,WR,54.4,10,5.4
WR/FLEX,Brandon Aiyuk,SF,WR,53,10,5.3
WR/FLEX,Cedrick Wilson Jr.,DAL,WR,53,9,5.9
WR/FLEX,Randall Cobb,GB,WR,52.1,10,5.2
WR/FLEX,Jamal Agnew,JAC,WR,52,10,5.2
WR/FLEX,Zach Pascal,IND,WR,51.7,11,4.7
WR/FLEX,Rondale Moore,ARI,WR,51.5,11,4.7
WR/FLEX,DeAndre Carter,WAS,WR,50,10,5
WR/FLEX,Byron Pringle,KC,WR,49.8,10,5
WR/FLEX,Kalif Raymond,DET,WR,49.3,10,4.9
WR/FLEX,K.J. Osborn,MIN,WR,49,10,4.9
WR/FLEX,Donovan Peoples-Jones,CLE,WR,49,8,6.1
WR/FLEX,Mecole Hardman,KC,WR,48,11,4.4
WR/FLEX,Robby Anderson,CAR,WR,45.6,11,4.2
WR/FLEX,Jamison Crowder,NYJ,WR,44.5,7,6.4
WR/FLEX,Quez Watkins,PHI,WR,42.8,11,3.9
WR/FLEX,Laviska Shenault Jr.,JAC,WR,41.8,10,4.2
WR/FLEX,Kadarius Toney,NYG,WR,40.6,8,5.1
WR/FLEX,Calvin Ridley,ATL,WR,40.1,5,8
WR/FLEX,Allen Robinson II,CHI,WR,39.9,9,4.4
WR/FLEX,Olamide Zaccheaus,ATL,WR,39.7,9,4.4
WR/FLEX,Allen Lazard,GB,WR,39,8,4.9
WR/FLEX,DeVante Parker,MIA,WR,38.7,5,7.7
WR/FLEX,Gabriel Davis,BUF,WR,38.5,9,4.3
WR/FLEX,Marquez Valdes-Scantling,GB,WR,37.9,6,6.3
WR/FLEX,Jarvis Landry,CLE,WR,37.9,7,5.4
WR/FLEX,Sterling Shepard,NYG,WR,37.5,5,7.5
WR/FLEX,Nick Westbrook-Ikhine,TEN,WR,37.2,9,4.1
WR/FLEX,Mack Hollins,MIA,WR,35.8,10,3.6
WR/FLEX,Devin Duvernay,BAL,WR,35.1,10,3.5
WR/FLEX,Amon-Ra St. Brown,DET,WR,34.9,9,3.9
WR/FLEX,Quintez Cephus,DET,WR,34.4,5,6.9
WR/FLEX,Julio Jones,TEN,WR,33.6,6,5.6
WR/FLEX,Marquise Goodwin,CHI,WR,33.6,10,3.4
WR/FLEX,Sammy Watkins,BAL,WR,32.7,7,4.7
WR/FLEX,Tre'Quan Smith,NO,WR,32.5,5,6.5
WR/FLEX,Kenny Golladay,NYG,WR,32.2,7,4.6
WR/FLEX,Freddie Swain,SEA,WR,31.8,10,3.2
WR/FLEX,Jalen Reagor,PHI,WR,31.5,11,2.9
WR/FLEX,DeSean Jackson,Multi,WR,30.3,8,3.8
WR/FLEX,Demarcus Robinson,KC,WR,29.6,10,3
WR/FLEX,Chester Rogers,TEN,WR,28.5,10,2.9
WR/FLEX,Keelan Cole Sr.,NYJ,WR,27.5,8,3.4
WR/FLEX,DJ Chark,JAC,WR,27.4,3,9.1
WR/FLEX,Chris Conley,HOU,WR,27.3,9,3
WR/FLEX,Rashod Bateman,BAL,WR,27,5,5.4
WR/FLEX,Braxton Berrios,NYJ,WR,26.8,10,2.7
WR/FLEX,Russell Gage,ATL,WR,26.8,6,4.5
WR/FLEX,Darius Slayton,NYG,WR,26.7,7,3.8
WR/FLEX,John Ross,NYG,WR,26.5,6,4.4
WR/FLEX,Odell Beckham Jr.,Multi,WR,26.4,7,3.8
WR/FLEX,Adam Humphries,WAS,WR,25.5,10,2.6
WR/FLEX,James Washington,PIT,WR,25.4,9,2.8
WR/FLEX,Rashard Higgins,CLE,WR,24.5,9,2.7
WR/FLEX,Zay Jones,LV,WR,23.7,8,3
WR/FLEX,Jerry Jeudy,DEN,WR,23.1,4,5.8
WR/FLEX,Brandon Zylstra,CAR,WR,22.4,7,3.2
WR/FLEX,Parris Campbell,IND,WR,22.2,5,4.4
WR/FLEX,Tyler Johnson,TB,WR,21.6,9,2.4
WR/FLEX,Chris Moore,HOU,WR,21.3,6,3.6
WR/FLEX,Jalen Guyton,LAC,WR,21,10,2.1
WR/FLEX,Joshua Palmer,LAC,WR,20.9,8,2.6
WR/FLEX,Kendall Hinton,DEN,WR,20.5,7,2.9
WR/FLEX,Nico Collins,HOU,WR,20,7,2.9
WR/FLEX,JuJu Smith-Schuster,PIT,WR,19.8,5,4
WR/FLEX,Tajae Sharpe,ATL,WR,19.1,9,2.1
